  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
S2                177.39772    22.39578  57017.815   F160W   inf     2.8237   0.1168     24.8192   0.0449     AB   25.9462   0.0017 0.0087  refsdal_f160w_e17-e00_sub_masked.fits
S2                177.39772    22.39578  57019.179   F160W   inf     2.5103   0.2279     24.9469   0.0986     AB   25.9462   0.0023 0.0150  refsdal_f160w_e18-e00_sub_masked.fits
S2                177.39772    22.39578  57021.196   F160W   inf     3.0135   0.0528     24.7485   0.0190     AB   25.9462   0.0018 0.0085  refsdal_f160w_e19-e00_sub_masked.fits
S2                177.39772    22.39578  57023.783   F160W   inf     3.0369   0.1076     24.7401   0.0385     AB   25.9462   0.0024 0.0088  refsdal_f160w_e20-e00_sub_masked.fits
S2                177.39772    22.39578  57026.038   F160W   inf     2.9728   0.1070     24.7633   0.0391     AB   25.9462   0.0022 0.0082  refsdal_f160w_e21-e00_sub_masked.fits
S2                177.39772    22.39578  57026.502   F160W   inf     3.0327   0.1515     24.7416   0.0542     AB   25.9462   0.0026 0.0084  refsdal_f160w_e22-e00_sub_masked.fits
S2                177.39772    22.39578  57027.829   F160W   inf     3.1237   0.1346     24.7095   0.0468     AB   25.9462   0.0020 0.0082  refsdal_f160w_e23-e00_sub_masked.fits
S2                177.39772    22.39578  57021.196   F160W   inf     2.9452   0.1262     24.7734   0.0465     AB   25.9462   0.0018 0.0077  refsdal_f160w_e24-e00_sub_masked.fits
S2                177.39772    22.39578  57033.961   F160W   inf     3.6971   0.1764     24.5266   0.0518     AB   25.9462  -0.0011 0.0123  refsdal_f160w_e25-e00_sub_masked.fits
S2                177.39772    22.39578  57036.615   F160W   inf     3.7378   0.1636     24.5147   0.0475     AB   25.9462  -0.0006 0.0132  refsdal_f160w_e26-e00_sub_masked.fits
S2                177.39772    22.39578  57044.705   F160W   inf     3.9992   0.1806     24.4413   0.0490     AB   25.9462   0.0000 0.0123  refsdal_f160w_e27-e00_sub_masked.fits
S2                177.39772    22.39578  57049.213   F160W   inf     3.9588   0.1949     24.4523   0.0534     AB   25.9462  -0.0004 0.0137  refsdal_f160w_e28-e00_sub_masked.fits
S2                177.39772    22.39578  57062.398   F160W   inf     4.4510   0.1183     24.3251   0.0288     AB   25.9462  -0.0006 0.0120  refsdal_f160w_e29-e00_sub_masked.fits
S2                177.39772    22.39578  57076.407   F160W   inf     4.0153   0.1813     24.4369   0.0490     AB   25.9462   0.0028 0.0125  refsdal_f160w_e30-e00_sub_masked.fits
S2                177.39772    22.39578  57090.419   F160W   inf     4.5940   0.1438     24.2908   0.0340     AB   25.9462   0.0018 0.0130  refsdal_f160w_e31-e00_sub_masked.fits
S2                177.39772    22.39578  57104.308   F160W   inf     4.8742   0.1669     24.2265   0.0372     AB   25.9462  -0.0004 0.0128  refsdal_f160w_e32-e00_sub_masked.fits
S2                177.39772    22.39578  57118.228   F160W   inf     2.2272   0.1857     25.0768   0.0905     AB   25.9462   0.0010 0.0135  refsdal_f160w_e33-e00_sub_masked.fits
S2                177.39772    22.39578  57132.107   F160W   inf     5.1235   0.1778     24.1723   0.0377     AB   25.9462   0.0013 0.0163  refsdal_f160w_e34-e00_sub_masked.fits
S2                177.39772    22.39578  57076.407   F160W   inf     4.0182   0.1652     24.4362   0.0446     AB   25.9462   0.0029 0.0120  refsdal_f160w_e35-e00_sub_masked.fits
S2                177.39772    22.39578  57090.419   F160W   inf     4.6429   0.1613     24.2792   0.0377     AB   25.9462   0.0014 0.0134  refsdal_f160w_e36-e00_sub_masked.fits
S2                177.39772    22.39578  57104.308   F160W   inf     4.7799   0.2125     24.2477   0.0483     AB   25.9462  -0.0003 0.0132  refsdal_f160w_e37-e00_sub_masked.fits
S2                177.39772    22.39578  57149.076   F160W   inf     4.6620   0.2614     24.2748   0.0609     AB   25.9462   0.0033 0.0170  refsdal_f160w_e38-e00_sub_masked.fits
S2                177.39772    22.39578  57168.295   F160W   inf     4.6778   0.2054     24.2711   0.0477     AB   25.9462   0.0027 0.0132  refsdal_f160w_e39-e00_sub_masked.fits
S2                177.39772    22.39578  57188.186   F160W   inf     4.3070   0.3348     24.3608   0.0844     AB   25.9462   0.0048 0.0149  refsdal_f160w_e40-e00_sub_masked.fits
S2                177.39772    22.39578  57208.093   F160W   inf     4.0436   0.1564     24.4293   0.0420     AB   25.9462   0.0075 0.0170  refsdal_f160w_e41-e00_sub_masked.fits
S2                177.39772    22.39578  57216.220   F160W   inf     4.5441   0.2103     24.3026   0.0502     AB   25.9462   0.0078 0.0178  refsdal_f160w_e42-e00_sub_masked.fits
S2                177.39772    22.39578  57223.996   F160W   inf     3.7393   0.1588     24.5142   0.0461     AB   25.9462   0.0064 0.0166  refsdal_f160w_e43-e00_sub_masked.fits
S2                177.39772    22.39578  57325.840   F160W   inf     1.2883   0.2164     25.6711   0.1824     AB   25.9462   0.0020 0.0142  refsdal_f160w_e44-e00_sub_masked.fits
S2                177.39772    22.39578  57340.953   F160W   inf     0.8815   0.1596     26.0831   0.1966     AB   25.9462   0.0028 0.0141  refsdal_f160w_e45-e00_sub_masked.fits
S2                177.39772    22.39578  57367.060   F160W   inf     0.9747   0.1678     25.9740   0.1869     AB   25.9462   0.0011 0.0134  refsdal_f160w_e46-e00_sub_masked.fits
S2                177.39772    22.39578  57402.151   F160W   inf     1.1898   0.1355     25.7575   0.1236     AB   25.9462  -0.0002 0.0131  refsdal_f160w_e47-e00_sub_masked.fits
S2                177.39772    22.39578  57429.508   F160W   inf     1.2720   0.1174     25.6850   0.1002     AB   25.9462   0.0001 0.0095  refsdal_f160w_e48-e00_sub_masked.fits
S2                177.39772    22.39578  57444.606   F160W   inf     1.1389   0.2060     25.8051   0.1963     AB   25.9462   0.0002 0.0152  refsdal_f160w_e49-e00_sub_masked.fits
S2                177.39772    22.39578  57459.094   F160W   inf     0.6616   0.1678     26.3947   0.2754     AB   25.9462  -0.0000 0.0126  refsdal_f160w_e50-e00_sub_masked.fits
S2                177.39772    22.39578  57472.543   F160W   inf     0.6852   0.1227     26.3567   0.1944     AB   25.9462   0.0002 0.0130  refsdal_f160w_e51-e00_sub_masked.fits
S2                177.39772    22.39578  57493.299   F160W   inf     0.7788   0.1694     26.2176   0.2361     AB   25.9462   0.0026 0.0130  refsdal_f160w_e52-e00_sub_masked.fits
S2                177.39772    22.39578  57507.575   F160W   inf     0.5421   0.1778     26.6110   0.3560     AB   25.9462   0.0011 0.0131  refsdal_f160w_e53-e00_sub_masked.fits
S2                177.39772    22.39578  57521.297   F160W   inf     0.7831   0.2069     26.2117   0.2868     AB   25.9462   0.0018 0.0131  refsdal_f160w_e54-e00_sub_masked.fits
S2                177.39772    22.39578  57524.545   F160W   inf     0.5172   0.2013     26.6621   0.4227     AB   25.9462   0.0032 0.0111  refsdal_f160w_e56-e00_sub_masked.fits
S2                177.39772    22.39578  57527.198   F160W   inf     0.5903   0.1799     26.5185   0.3309     AB   25.9462   0.0023 0.0129  refsdal_f160w_e57-e00_sub_masked.fits
S2                177.39772    22.39578  57541.130   F160W   inf     0.8034   0.2082     26.1838   0.2813     AB   25.9462   0.0014 0.0131  refsdal_f160w_e63-e00_sub_masked.fits
S2                177.39772    22.39578  57545.104   F160W   inf     0.5546   0.3070     26.5862   0.6009     AB   25.9462   0.0051 0.0162  refsdal_f160w_e64-e00_sub_masked.fits
