  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
S4                177.39780    22.39518  57524.607   F125W   inf     0.3737   0.2408     27.2989   0.6997     AB   26.2302  -0.0061 0.0180  refsdal_f125w_e56-e00_sub_masked.fits
S4                177.39780    22.39518  57527.183   F125W   inf     0.1372   0.2481     28.3867   1.9629     AB   26.2302  -0.0067 0.0220  refsdal_f125w_e57-e00_sub_masked.fits
S4                177.39780    22.39518  57532.018   F125W   inf    -0.0548   0.4555     25.8911  -9.0000     AB   26.2302  -0.0049 0.0253  refsdal_f125w_e58-e00_sub_masked.fits
S4                177.39780    22.39518  57534.270   F125W   inf     0.3356   0.2683     27.4156   0.8679     AB   26.2302  -0.0026 0.0293  refsdal_f125w_e59-e00_sub_masked.fits
S4                177.39780    22.39518  57536.058   F125W   inf     0.0641   0.4078     29.2138   6.9119     AB   26.2302  -0.0022 0.0276  refsdal_f125w_e60-e00_sub_masked.fits
S4                177.39780    22.39518  57537.052   F125W   inf    -0.0663   0.4403     25.9279  -9.0000     AB   26.2302  -0.0020 0.0300  refsdal_f125w_e61-e00_sub_masked.fits
S4                177.39780    22.39518  57538.310   F125W   inf    -0.0117   0.4757     25.8442  -9.0000     AB   26.2302  -0.0079 0.0242  refsdal_f125w_e62-e00_sub_masked.fits
S4                177.39780    22.39518  57541.093   F125W   inf    -0.0068   0.3478     26.1840  -9.0000     AB   26.2302  -0.0065 0.0226  refsdal_f125w_e63-e00_sub_masked.fits
S4                177.39780    22.39518  57545.067   F125W   inf     0.2177   0.1920     27.8854   0.9574     AB   26.2302  -0.0023 0.0262  refsdal_f125w_e64-e00_sub_masked.fits
S4                177.39780    22.39518  57547.054   F125W   inf     0.1773   0.2275     28.1082   1.3929     AB   26.2302  -0.0030 0.0257  refsdal_f125w_e65-e00_sub_masked.fits
S4                177.39780    22.39518  57549.005   F125W   inf     0.1672   0.2435     28.1724   1.5814     AB   26.2302  -0.0030 0.0220  refsdal_f125w_e66-e00_sub_masked.fits
S4                177.39780    22.39518  57550.039   F125W   inf     0.4327   0.2498     27.1396   0.6268     AB   26.2302  -0.0035 0.0236  refsdal_f125w_e67-e00_sub_masked.fits
S4                177.39780    22.39518  57551.666   F125W   inf     0.1481   0.2273     28.3041   1.6666     AB   26.2302  -0.0021 0.0265  refsdal_f125w_e68-e00_sub_masked.fits
S4                177.39780    22.39518  57553.731   F125W   inf     0.0079   0.2754     31.4831  37.7468     AB   26.2302  -0.0025 0.0253  refsdal_f125w_e69-e00_sub_masked.fits
S4                177.39780    22.39518  57555.907   F125W   inf     0.1357   0.2510     28.3987   2.0085     AB   26.2302  -0.0045 0.0256  refsdal_f125w_e70-e00_sub_masked.fits
S4                177.39780    22.39518  57557.498   F125W   inf     0.1394   0.3387     28.3695   2.6374     AB   26.2302  -0.0045 0.0271  refsdal_f125w_e71-e00_sub_masked.fits
S4                177.39780    22.39518  57566.203   F125W   inf     0.1538   0.2349     28.2625   1.6575     AB   26.2302  -0.0049 0.0309  refsdal_f125w_e72-e00_sub_masked.fits
S4                177.39780    22.39518  57569.250   F125W   inf    -0.2266   0.4534     25.8963  -9.0000     AB   26.2302  -0.0014 0.0266  refsdal_f125w_e73-e00_sub_masked.fits
S4                177.39780    22.39518  56971.993   F140W   inf     0.8038   0.3485     26.6895   0.4707     AB   26.4523  -0.0021 0.0290  refsdal_f140w_e02-e00_sub_masked.fits
S4                177.39780    22.39518  56982.116   F140W   inf     0.5803   0.2703     27.0432   0.5058     AB   26.4523   0.0021 0.0159  refsdal_f140w_e03-e00_sub_masked.fits
S4                177.39780    22.39518  56983.177   F140W   inf     0.6535   0.2712     26.9142   0.4505     AB   26.4523   0.0017 0.0151  refsdal_f140w_e04-e00_sub_masked.fits
S4                177.39780    22.39518  56984.836   F140W   inf     0.6502   0.4183     26.9197   0.6984     AB   26.4523   0.0017 0.0172  refsdal_f140w_e05-e00_sub_masked.fits
S4                177.39780    22.39518  56983.177   F140W   inf     0.6845   0.2922     26.8639   0.4635     AB   26.4523   0.0013 0.0167  refsdal_f140w_e06-e00_sub_masked.fits
S4                177.39780    22.39518  56984.836   F140W   inf     0.6849   0.3497     26.8632   0.5543     AB   26.4523   0.0007 0.0159  refsdal_f140w_e07-e00_sub_masked.fits
S4                177.39780    22.39518  56990.911   F160W   inf    -0.0623   0.6872     25.1607  -9.0000     AB   25.9462   0.0102 0.0301  refsdal_f160w_e06-e00_sub_masked.fits
S4                177.39780    22.39518  56992.967   F160W   inf    -0.2228   0.7336     25.0897  -9.0000     AB   25.9462   0.0107 0.0286  refsdal_f160w_e07-e00_sub_masked.fits
S4                177.39780    22.39518  56994.028   F160W   inf    -0.1776   0.6731     25.1832  -9.0000     AB   25.9462   0.0101 0.0313  refsdal_f160w_e08-e00_sub_masked.fits
S4                177.39780    22.39518  56996.747   F160W   inf     0.1075   0.4370     28.3679   4.4142     AB   25.9462   0.0140 0.0329  refsdal_f160w_e09-e00_sub_masked.fits
S4                177.39780    22.39518  56999.831   F160W   inf    -0.0486   0.3860     25.7869  -9.0000     AB   25.9462   0.0121 0.0274  refsdal_f160w_e10-e00_sub_masked.fits
S4                177.39780    22.39518  57002.885   F160W   inf     0.2573   0.2492     27.4202   1.0515     AB   25.9462   0.0014 0.0124  refsdal_f160w_e11-e00_sub_masked.fits
S4                177.39780    22.39518  57006.999   F160W   inf     0.1853   0.2053     27.7763   1.2023     AB   25.9462   0.0020 0.0119  refsdal_f160w_e12-e00_sub_masked.fits
S4                177.39780    22.39518  57011.910   F160W   inf     0.4639   0.2694     26.7801   0.6304     AB   25.9462   0.0006 0.0122  refsdal_f160w_e13-e00_sub_masked.fits
S4                177.39780    22.39518  57014.896   F160W   inf     0.5076   0.2939     26.6825   0.6286     AB   25.9462   0.0018 0.0114  refsdal_f160w_e14-e00_sub_masked.fits
